"full_name","a","e","i","om","w","q","ad","per.y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"   433 Eros (A898 PA)",1.458,0.2227,10.83,304.30,178.90,1.133,1.78,1.76,46582,0,9130,4,2,10.43
"   719 Albert (A911 TB)",2.638,0.5470,11.58,183.86,156.23,1.195,4.08,4.28,40008,0,1894,,,15.51
"   887 Alinda (A918 AA)",2.473,0.5705,9.39,110.43,350.49,1.062,3.88,3.89,37799,0,2624,,,13.87
"  1036 Ganymed (A924 UB)",2.666,0.5331,26.68,215.52,132.43,1.245,4.09,4.35,35482,0,7159,0,1,9.25
"  1221 Amor (1932 EA1)",1.919,0.4358,11.88,171.32,26.64,1.082,2.75,2.66,32775,0,573,,,17.39
"  1566 Icarus (1949 MA)",1.078,0.8269,22.80,87.96,31.44,0.187,1.97,1.12,26339,0,1078,10,13,16.35
"  1580 Betulia (1950 KA)",2.197,0.4872,52.08,62.29,159.51,1.127,3.27,3.26,25873,0,1353,5,6,14.69
"  1620 Geographos (1951 RA)",1.246,0.3354,13.34,337.18,276.95,0.828,1.66,1.39,25681,0,4726,3,4,15.29
"  1627 Ivar (1929 SH)",1.863,0.3967,8.45,133.12,167.80,1.124,2.60,2.54,33705,0,7490,3,1,12.67
"  1685 Toro (1948 OA)",1.367,0.4360,9.38,274.24,127.21,0.771,1.96,1.6,26681,0,3641,7,2,14.34
"  1862 Apollo (1932 HA)",1.471,0.5600,6.35,35.57,286.04,0.647,2.29,1.78,33261,0,2107,8,9,16.10
"  1863 Antinous (1948 EA)",2.259,0.6060,18.40,346.42,268.09,0.890,3.63,3.4,26930,0,1065,,,15.40
"  1864 Daedalus (1971 FA)",1.461,0.6145,22.22,6.61,325.66,0.563,2.36,1.77,18546,0,2603,1,0,14.72
"  1865 Cerberus (1971 UA)",1.08,0.4670,16.10,212.90,325.27,0.576,1.58,1.12,18230,0,2011,,,16.73
"  1866 Sisyphus (1972 XA)",1.893,0.5384,41.21,63.47,293.08,0.874,2.91,2.61,24315,0,5142,0,1,12.44
"  1915 Quetzalcoatl (1953 EA)",2.544,0.5706,20.40,162.93,347.81,1.092,4.00,4.06,18842,0,51,0,1,18.97
"  1916 Boreas (1953 RA)",2.272,0.4498,12.88,340.60,335.92,1.250,3.29,3.43,24753,0,1759,,,14.88
"  1917 Cuyo (1968 AA)",2.15,0.5055,23.96,188.29,194.51,1.063,3.24,3.15,24716,0,2410,0,2,14.32
"  1943 Anteros (1973 EC)",1.43,0.2560,8.71,246.31,338.38,1.064,1.80,1.71,17833,0,4551,,,15.65
"  1980 Tezcatlipoca (1950 LA)",1.709,0.3648,26.87,246.56,115.47,1.086,2.33,2.23,25952,0,3733,,,13.80
"  1981 Midas (1973 EA)",1.776,0.6501,39.83,356.86,267.83,0.622,2.93,2.37,17760,0,1077,12,1,15.22
"  2059 Baboquivari (1963 UA)",2.643,0.5314,11.02,200.69,192.42,1.239,4.05,4.3,21001,0,1449,,,15.97
"  2061 Anza (1960 UA)",2.264,0.5361,3.80,207.37,157.03,1.050,3.48,3.41,22148,0,1014,,,16.36
"  2062 Aten (1976 AA)",0.9669,0.1828,18.93,108.54,148.06,0.790,1.14,0.951,23339,0,1024,5,2,17.10
"  2063 Bacchus (1977 HB)",1.078,0.3494,9.43,33.07,55.38,0.701,1.45,1.12,16293,0,799,7,5,17.28
"  2100 Ra-Shalom (1978 RA)",0.832,0.4366,15.75,170.79,356.07,0.469,1.20,0.759,16862,0,2022,8,2,16.24
"  2101 Adonis (1936 CA)",1.874,0.7642,1.32,349.49,43.60,0.442,3.31,2.57,30790,0,119,0,5,18.64
"  2102 Tantalus (1975 YA)",1.29,0.2993,64.00,94.36,61.53,0.904,1.68,1.47,16703,0,1387,1,0,16.00
"  2135 Aristaeus (1977 HA)",1.599,0.5032,23.07,191.13,290.99,0.795,2.40,2.02,15749,1,61,,,18.02
"  2201 Oljato (1947 XC)",2.175,0.7130,2.52,74.99,98.23,0.624,3.72,3.21,32795,0,1120,0,5,15.25
"  2202 Pele (1972 RA)",2.291,0.5125,8.74,169.93,217.91,1.117,3.47,3.47,17455,0,289,,,17.11
"  2212 Hephaistos (1978 SB)",2.16,0.8374,11.54,27.51,209.41,0.351,3.97,3.17,15805,0,3086,,,13.33
"  2329 Orthos (1976 WA)",2.409,0.6541,24.48,169.28,146.06,0.833,3.98,3.74,16632,0,1702,,,14.50
"  2340 Hathor (1976 UA)",0.8437,0.4499,5.86,211.31,40.08,0.464,1.22,0.775,15431,0,454,4,3,20.20
"  2368 Beltrovata (1977 RA)",2.106,0.4133,5.22,287.33,43.06,1.235,2.98,3.06,16161,0,1341,,,15.09
"  2608 Seneca (1978 DA)",2.517,0.5707,14.67,167.33,37.37,1.080,3.95,3.99,15663,1,74,,,17.48
"  3102 Krok (1981 QA)",2.151,0.4495,8.44,172.05,154.80,1.184,3.12,3.15,14451,0,1373,,,16.15
"  3103 Eger (1982 BB)",1.404,0.3542,20.93,129.75,254.07,0.907,1.90,1.66,14594,0,3966,1,3,15.21
"  3122 Florence (1981 ET3)",1.769,0.4233,22.15,336.06,27.86,1.020,2.52,2.35,15455,0,5047,6,0,14.04
"  3199 Nefertiti (1982 RA)",1.575,0.2842,32.96,339.99,53.40,1.127,2.02,1.98,14154,0,2047,0,1,14.84
"  3200 Phaethon (1983 TB)",1.271,0.8898,22.26,265.22,322.17,0.140,2.40,1.43,13875,0,5090,8,0,14.32
"  3271 Ul (1982 RB)",2.101,0.3960,25.08,158.81,159.13,1.269,2.93,3.05,14084,0,222,,,16.55
"  3288 Seleucus (1982 DV)",2.033,0.4563,5.93,218.62,349.29,1.105,2.96,2.9,14552,0,2142,,,15.26
"  3352 McAuliffe (1981 CW)",1.879,0.3690,4.77,107.34,16.14,1.186,2.57,2.58,14943,0,1953,,,15.85
"  3360 Syrinx (1981 VA)",2.466,0.7459,21.15,242.52,63.52,0.627,4.31,3.87,14313,0,547,,,15.94
"  3361 Orpheus (1982 HR)",1.211,0.3231,2.66,188.69,302.36,0.819,1.60,1.33,14460,0,1149,,,19.24
"  3362 Khufu (1984 QA)",0.9895,0.4685,9.92,152.43,55.05,0.526,1.45,0.984,7394,1,262,,,18.30
"  3551 Verenia (1983 RD)",2.093,0.4872,9.51,173.78,193.27,1.073,3.11,3.03,13737,0,500,,,16.65
"  3552 Don Quixote (1983 SA)",4.263,0.7086,31.10,349.92,316.59,1.242,7.28,8.8,13675,0,1345,,,12.96
"  3553 Mera (1985 JA)",1.645,0.3200,36.77,232.51,288.89,1.118,2.17,2.11,13270,0,853,,,16.39
"  3554 Amun (1986 EB)",0.974,0.2807,23.36,358.61,359.41,0.701,1.25,0.961,11979,0,1675,,,15.82
"  3671 Dionysus (1984 KD)",2.199,0.5413,13.53,82.08,204.29,1.009,3.39,3.26,13377,0,733,,,16.48
"  3691 Bede (1982 FT)",1.774,0.2842,20.36,348.74,234.89,1.270,2.28,2.36,17010,0,3188,,,14.77
"  3752 Camillo (1985 PA)",1.413,0.3016,55.57,147.96,312.23,0.987,1.84,1.68,16382,0,1783,4,4,15.23
"  3753 Cruithne (1986 TO)",0.9977,0.5150,19.81,126.22,43.85,0.484,1.51,0.997,17554,0,1089,,,15.57
"  3757 Anagolay (1982 XB)",1.835,0.4458,3.87,74.95,17.21,1.017,2.65,2.49,13428,0,173,0,2,18.90
